,year,age,sex,numwomen,nummen,wtssps
0,1972,23.0,2.0,,,0.6631962719309434
1,1972,70.0,1.0,,,0.9173700285853269
2,1972,48.0,2.0,,,0.8974125122510306
3,1972,27.0,2.0,,,1.066340827434378
4,1972,61.0,2.0,,,0.9443237106646604
5,1972,26.0,1.0,,,0.5268872419875674
6,1972,28.0,1.0,,,0.5268872419875674
7,1972,27.0,1.0,,,0.5465788695869015
8,1972,21.0,2.0,,,0.28319830704889315
9,1972,30.0,2.0,,,0.4943221456064059
10,1972,30.0,2.0,,,0.4943221456064059
11,1972,56.0,1.0,,,0.5143024304190335
12,1972,54.0,1.0,,,0.34288113904464074
13,1972,49.0,2.0,,,0.7377409887767981
14,1972,41.0,1.0,,,0.3258478220111277
15,1972,54.0,1.0,,,0.3447588221122278
16,1972,24.0,1.0,,,0.69963910150137
17,1972,62.0,2.0,,,0.7756245231911563
18,1972,46.0,2.0,,,1.153200137225526
19,1972,21.0,2.0,,,2.1121180099210615
20,1972,57.0,1.0,,,0.6427381606254297
21,1972,58.0,1.0,,,0.6427381606254297
22,1972,21.0,1.0,,,0.69963910150137
23,1972,26.0,2.0,,,0.8489132486287088
24,1972,71.0,2.0,,,1.1610227574386525
25,1972,53.0,2.0,,,0.9443237106646604
26,1972,42.0,1.0,,,0.7396101836808643
27,1972,42.0,2.0,,,0.8974125122510306
28,1972,20.0,1.0,,,0.8471720987661739
29,1972,23.0,1.0,,,0.8425580886142678
30,1972,26.0,1.0,,,0.8425580886142678
31,1972,25.0,2.0,,,1.0279237066194562
32,1972,26.0,1.0,,,1.6398595459783345
33,1972,78.0,2.0,,,1.1130989813030865
34,1972,21.0,1.0,,,0.8471720987661739
35,1972,27.0,1.0,,,0.8471720987661739
36,1972,58.0,2.0,,,0.9443237106646604
37,1972,35.0,2.0,,,1.4434553172314797
38,1972,58.0,1.0,,,0.6261158591082713
39,1972,51.0,2.0,,,1.228201703981277
40,1972,76.0,2.0,,,0.9003857752751921
41,1972,53.0,1.0,,,1.012232920176447
42,1972,39.0,1.0,,,1.1896360232762835
43,1972,64.0,2.0,,,1.221512466766061
44,1972,50.0,2.0,,,1.408718061285921
45,1972,27.0,2.0,,,1.0279237066194562
46,1972,25.0,1.0,,,1.5807802341142971
47,1972,49.0,1.0,,,1.1093736916809915
48,1972,40.0,1.0,,,0.7355819951924478
49,1972,43.0,1.0,,,1.1033316354292209
50,1972,46.0,1.0,,,1.1033316354292209
51,1972,37.0,1.0,,,0.9196807518590481
52,1972,46.0,1.0,,,0.7355819951924478
53,1972,22.0,2.0,,,1.0279237066194562
54,1972,53.0,2.0,,,2.347898638466794
55,1972,35.0,1.0,,,0.9196807518590481
56,1972,31.0,2.0,,,1.1159027176819802
57,1972,30.0,2.0,,,1.1159027176819802
58,1972,37.0,2.0,,,0.9141450707253006
59,1972,57.0,2.0,,,0.7693746789453701
60,1972,39.0,1.0,,,0.7534004646025815
61,1972,62.0,2.0,,,1.1540187610988746
62,1972,51.0,1.0,,,0.9563027904071629
63,1972,43.0,1.0,,,0.6025871649602811
64,1972,39.0,1.0,,,0.7534004646025815
65,1972,52.0,2.0,,,0.939180577180875
66,1972,30.0,1.0,,,0.9196807518590481
67,1972,47.0,2.0,,,0.8974125122510306
68,1972,31.0,2.0,,,1.3881973400363443
69,1972,25.0,1.0,,,0.8788338968740971
70,1972,45.0,1.0,,,0.7355819951924478
71,1972,30.0,2.0,,,1.1159027176819802
72,1972,68.0,1.0,,,0.9173700285853269
73,1972,63.0,2.0,,,0.939180577180875
74,1972,19.0,1.0,,,2.1077859842534563
75,1972,23.0,1.0,,,1.0932806763914333
76,1972,46.0,2.0,,,1.338737130239155
77,1972,55.0,2.0,,,1.168352723223538
78,1972,22.0,1.0,,,2.1077859842534563
79,1972,55.0,2.0,,,1.1747508474583053
80,1972,44.0,1.0,,,1.4711639903848956
